study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,length,nosi_at_uni,n_projects_total,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other,id
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,Universität Osnabrück,NA,Yes,"1, 3",6,"1, 3, 6, 8",Did hear of RC,11,4,5,3,SPSS,Yes,Yes,1,NA,3,6,1,"1, 3",6,6,6,6,1,6,6,10472s (~2.91 hours),No,2,1,0,1,0,0,11
Master,NA,NA,NA,NA,NA,NA,Other,Statistik,2,24,female,NA,Universität Bielefeld,Yes,"1, 3, 5",6,"2, 3, 6",Did not hear of RC,NA,5,5,4,R,No,No,1,NA,3,6,5,6,6,6,3,6,6,6,6,579s (~9.65 minutes),No,3,1,0,1,0,1,12
I don't study (any more),1,M.Sc.,1,Psychology,Sozialpsychologie (!?),NA,NA,NA,NA,32,male,NA,NA,Yes,"1, 3, 4, 5",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"11, 14",4,5,4,R,Yes,No,1,Den Themenkomplex flexible Datenanalyse finde ich unklar abgegrenzt: Bei einer vorregistrierten Studie ist es meiner Ansicht nach kein Problem eine post-hoc Analyse unerwarteter Ergebnisse durchzuführen. Wenn es separat berichtet wird.,"3, 4, 5","3, 4, 5",1,1,6,6,1,6,6,6,6,1098s (~18.3 minutes),No,4,1,0,1,1,1,13
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,male,NA,Justus-Liebig-Universität Gießen,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,11,4,4,2,R,No,No,1,NA,3,6,3,6,3,6,3,3,3,3,6,377s (~6.28 minutes),No,2,1,0,1,0,0,14
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,Universität Hamburg,Universität Osnabrück,Yes,"1, 2, 3",6,"1, 2, 4, 5, 6, 8",Did hear of RC,"4, 11",4,5,2,R,Not Sure,No,1,NA,6,6,"1, 3",6,6,"1, 3",3,3,6,"1, 3",6,312s (~5.2 minutes),No,3,1,1,1,0,0,15
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Julius-Maximilians-Universität Würzburg,NA,Yes,1,3,"1, 2, 5, 6, 7, 8",Did hear of RC,"11, 14",4,5,4,"SPSS,Excel",Yes,Yes,1,NA,6,1,6,6,6,6,6,6,6,6,6,5002s (~1.39 hours),No,1,1,0,0,0,0,16
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Leipzig,NA,Yes,"1, 5",1,"2, 4, 6, 7, 8, 9",Did hear of RC,"4, 5, 6, 14",3,5,4,"R,SPSS",No,Yes,1,NA,6,5,6,1,5,6,6,"1, 5",5,6,6,743s (~12.38 minutes),Yes,2,1,0,0,0,1,17
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,male,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,11,3,3,3,R,No,No,1,NA,1,6,1,6,6,1,1,6,6,6,6,155s (~2.58 minutes),No,1,1,0,0,0,0,18
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,female,Georg-August-Universität Göttingen,Universität Osnabrück,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 4, 5, 11",3,5,5,R,Yes,Yes,1,NA,6,6,6,6,6,6,6,6,6,6,6,1538s (~25.63 minutes),Yes,2,1,0,1,0,0,19
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Georg-August-Universität Göttingen,Universität Hildesheim,Yes,"1, 3, 5",3,2,Did not hear of RC,NA,5,5,3,R,Yes,Yes,1,NA,3,3,6,1,6,6,NA,6,6,6,6,383s (~6.38 minutes),Yes,3,1,0,1,0,1,20
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 8, 14",3,5,4,"SPSS,Excel",Yes,No,1,NA,6,6,1,6,1,6,"1, 2",6,6,6,6,66077s (~18.35 hours),No,2,1,1,0,0,0,21
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,NA,NA,Yes,1,6,"1, 2, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 11, 15",5,5,3,R,Not Sure,Yes,1,NA,6,6,1,6,6,6,6,6,6,6,6,432s (~7.2 minutes),No,1,1,0,0,0,0,22
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,20,male,Rheinische Friedrich-Wilhelms-Universität Bonn,NA,Yes,"1, 3",6,"2, 4, 6, 7, 8",Did hear of RC,"4, 6",4,4,3,SPSS,Not Sure,No,1,NA,1,6,1,"1, 3",3,1,6,1,1,1,6,478s (~7.97 minutes),No,2,1,0,1,0,0,23
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Goethe-Universität Frankfurt,NA,Yes,"1, 5",6,"1, 3, 4, 7, 8",Did hear of RC,"1, 11",5,5,4,"SPSS,R,Excel",Yes,Yes,1,NA,5,5,6,6,1,6,6,6,6,6,6,194593s (~2.25 days),Yes,2,1,0,0,0,1,24
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,NA,NA,Yes,"1, 5",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 4, 6, 11, 12",4,5,4,SPSS,No,No,1,NA,5,6,6,6,6,6,6,6,6,6,6,89572s (~1.04 days),No,2,1,0,0,0,1,25
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,Universität Hamburg,Universität Hamburg,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6",Did hear of RC,"4, 5, 11",4,5,3,R,Not Sure,Yes,1,NA,"1, 3",6,6,6,6,6,1,6,6,6,6,395s (~6.58 minutes),No,2,1,0,1,0,0,26
I don't study (any more),1,M.Sc.,1,Psychology,Psychologie,NA,NA,NA,NA,30,male,NA,NA,Yes,"1, 2, 3, 4, 5",6,10,Did hear of RC,"11, 14",4,5,2,R,Yes,No,1,"Technisch beste Umfrage, die ich je ausgefüllt habe!","3, 4",6,5,"1, 2, 3, 4, 5",6,6,"4, 5","2, 5",5,5,6,424s (~7.07 minutes),No,5,1,1,1,1,1,27
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,2,23,male,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 2, 3",1,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"2, 3, 4, 14",4,5,4,"SPSS,Excel",Yes,Yes,1,NA,"1, 2, 3","2, 3",6,6,6,6,6,6,6,6,6,368s (~6.13 minutes),No,3,1,1,1,0,0,28
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,21,female,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 3",6,"1, 2, 6, 8",Did hear of RC,3,3,4,3,"SPSS,Excel,HLM,R",Yes,Yes,1,NA,"1, 3",6,"1, 3",3,6,6,6,"1, 3",6,6,6,274s (~4.57 minutes),No,2,1,0,1,0,0,29
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,27,female,NA,Justus-Liebig-Universität Gießen,Yes,"2, 3",6,10,Did hear of RC,11,5,5,2,SPSS,No,No,1,NA,6,6,3,6,6,3,3,2,3,6,6,551s (~9.18 minutes),No,2,0,1,1,0,0,30
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,male,Ruhr-Universität Bochum,Ruhr-Universität Bochum,Yes,"1, 2, 3",6,"1, 2, 4, 5, 6, 7, 8",Did hear of RC,"9, 11",4,5,3,R,No,No,1,NA,1,6,2,6,6,2,6,6,"1, 3",1,6,499s (~8.32 minutes),No,3,1,1,1,0,0,31
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"1, 3, 4, 7, 8",Did not hear of RC,NA,5,5,2,SPSS,Yes,Yes,1,NA,1,6,1,1,6,6,6,6,6,6,6,320512s (~3.71 days),No,1,1,0,0,0,0,32
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,male,Universität Hamburg,Rheinische Friedrich-Wilhelms-Universität Bonn,Yes,"1, 3",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"4, 9, 11",2,5,4,R,No,No,1,NA,6,"1, 3",6,6,6,6,3,6,6,3,6,776s (~12.93 minutes),No,2,1,0,1,0,0,33
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"2, 8",Did hear of RC,11,3,4,2,SPSS,Yes,Yes,1,NA,6,6,6,1,6,6,6,6,6,6,6,782s (~13.03 minutes),No,1,1,0,0,0,0,34
Other,NA,NA,NA,NA,NA,Weiterbildungsstudiengang,Other,Psych. Psychotherapeut,3,31,female,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2, 3, 4",1,"1, 2, 4, 6",Did not hear of RC,NA,4,4,3,weiss ich nicht,Not Sure,No,1,Vieles konnte ich retrospektiv schwer einschätzen...,6,"1, 3, 4",6,"1, 3, 4",6,6,5,6,6,6,6,563s (~9.38 minutes),No,4,1,1,1,1,0,35
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",6,"1, 2, 4, 5, 6, 7, 8",Did hear of RC,11,3,5,4,"SPSS,Excel",No,Not Sure,1,NA,3,6,6,6,6,6,6,6,6,6,6,309s (~5.15 minutes),No,2,1,0,1,0,0,36
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,11,5,5,4,"Excel,spss",Yes,Yes,1,"Open Science Rules
#johannesissexay",6,"1, 3",6,1,6,6,6,6,6,6,6,445644s (~5.16 days),No,2,1,0,1,0,0,37
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Hamburg,Universität Hamburg,Yes,"1, 2, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"4, 5, 6, 11, 14",3,5,4,"R,SPSS",Not Sure,No,1,NA,"1, 3",6,6,1,6,6,6,6,6,"1, 3",6,491s (~8.18 minutes),No,3,1,1,1,0,0,38
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,26,male,Universität Hamburg,NA,Yes,1,6,"1, 2, 4, 5, 6, 7, 8",Did hear of RC,"1, 4, 5, 6, 11",4,5,4,R,No,No,1,NA,1,6,6,6,6,6,1,5,6,6,6,423s (~7.05 minutes),No,1,1,0,0,0,0,39
Master,NA,NA,NA,NA,NA,NA,Other,Human Factors,1,23,female,NA,Julius-Maximilians-Universität Würzburg,Yes,"1, 2, 3",6,"1, 2, 4, 5, 8",Did hear of RC,6,4,5,3,"R,SPSS",No,No,1,NA,"1, 3",6,"2, 3",6,6,6,3,6,6,6,6,345s (~5.75 minutes),No,3,1,1,1,0,0,40
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,17,female,Universität zu Köln,NA,No,NA,NA,11,Did hear of RC,11,4,5,2,"SPSS,R",Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175s (~2.92 minutes),Yes,0,NA,NA,NA,NA,NA,41
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Universität zu Köln,Universität zu Köln,Yes,"1, 3",2,"2, 3, 6, 7, 8",Did hear of RC,"10, 14, 15",4,5,4,"R,SPSS",Yes,No,1,NA,3,3,6,1,6,6,6,6,6,6,6,475s (~7.92 minutes),Yes,2,1,0,1,0,0,42
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Universität zu Köln,Johannes Gutenberg-Universität Mainz,Yes,"1, 3","1, 2","1, 2, 3, 4, 5, 7, 8",Did hear of RC,"1, 9, 11, 14, 15",3,5,4,"R,SPSS",Yes,Not Sure,1,"Ich habe versehentlich vergessen ""Andere"" anzukreuzen auf einer der ersten Seite. Also ""BAchelorarbeit, Expra, Andere"". :)
Liebe Grüße!",1,5,6,6,6,6,6,6,6,3,6,373s (~6.22 minutes),Yes,2,1,0,1,0,0,43
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Hildesheim,NA,Yes,2,6,11,Did not hear of RC,NA,4,5,2,SPSS,Not Sure,No,1,NA,2,6,6,6,6,6,6,2,6,6,6,278s (~4.63 minutes),No,1,0,1,0,0,0,44
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,28,female,NA,NA,No,NA,NA,"1, 2, 6, 7, 8",Did hear of RC,14,2,2,3,"SPSS,R",No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298s (~4.97 minutes),No,0,NA,NA,NA,NA,NA,45
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,female,Universität Hildesheim,NA,Yes,1,6,"7, 8",Did not hear of RC,NA,2,5,3,SPSS,Not Sure,Yes,1,NA,1,6,1,6,6,1,6,6,6,6,6,607s (~10.12 minutes),No,1,1,0,0,0,0,46
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,24,female,Universität zu Köln,NA,Yes,1,2,"1, 2, 3, 4, 5, 6, 7, 8, 11",Did hear of RC,11,4,5,3,SPSS,Yes,Not Sure,1,NA,1,1,1,6,6,6,6,6,6,6,6,883s (~14.72 minutes),Yes,1,1,0,0,0,0,47
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität zu Köln,NA,Yes,"1, 2",3,"1, 3, 4, 5, 6, 7, 8",Did hear of RC,"11, 14",3,5,4,SPSS,Yes,No,1,NA,1,1,6,2,6,6,6,6,6,6,6,410s (~6.83 minutes),Yes,2,1,1,0,0,0,48
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,male,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",1,"1, 2, 4, 5, 6, 8",Did hear of RC,11,4,5,4,SPSS,Yes,Yes,1,NA,"1, 3",3,6,6,6,6,1,1,6,6,6,3606s (~1 hours),No,2,1,0,1,0,0,49
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,male,Universität zu Köln,NA,Yes,"1, 5",3,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"11, 14",2,4,2,SPSS,Not Sure,Not Sure,1,NA,1,1,6,5,6,6,1,6,1,6,6,84960s (~23.6 hours),Yes,2,1,0,0,0,1,50
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,female,NA,NA,Yes,"1, 2, 3, 4, 5",6,"2, 4, 8, 9",Did hear of RC,"9, 11",4,4,2,"SPSS,STATA",Yes,Yes,1,NA,2,6,"1, 2",1,2,6,"3, 5",2,"1, 5","1, 5",2,571s (~9.52 minutes),No,5,1,1,1,1,1,51
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Ludwig-Maximilians-Universität München,NA,Yes,1,3,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,15,5,5,4,R,Yes,No,1,NA,1,1,6,6,NA,6,6,6,6,6,6,365s (~6.08 minutes),Yes,1,1,0,0,0,0,52
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,6,21,male,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 3",6,"1, 3, 4, 6, 7, 8, 9",Did hear of RC,"1, 11",5,5,3,"SPSS,Excel",Not Sure,Yes,1,NA,6,6,6,6,6,6,6,6,6,6,6,451s (~7.52 minutes),No,2,1,0,1,0,0,53
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,Julius-Maximilians-Universität Würzburg,NA,Yes,1,1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,11,4,5,5,Excel,Not Sure,Yes,1,NA,6,1,6,1,6,6,1,6,6,6,6,455s (~7.58 minutes),No,1,1,0,0,0,0,54
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,28,male,NA,NA,Yes,"1, 2, 3",2,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 4",4,5,4,R,No,No,1,NA,2,2,1,"1, 3",6,6,6,"1, 3",6,6,6,406s (~6.77 minutes),No,3,1,1,1,0,0,55
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,26,female,NA,NA,Yes,3,6,"1, 3, 6, 7, 8",Did hear of RC,11,4,5,3,R,No,No,1,NA,6,3,3,6,6,6,6,6,6,NA,6,233828s (~2.71 days),No,1,0,0,1,0,0,56
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,27,male,Universität zu Köln,Universität zu Köln,Yes,"1, 2, 3",3,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"6, 11, 14, 15",4,4,5,"SPSS,R",Yes,Yes,1,Sowohl im Expra als auch im Empra müssen ALLE Gruppen ihre Hypothesen und die geplante Datenauswertung präregistrieren. Im Master gibt es sogar eine eigene Veranstaltung zum Thema (ein einsemestriges Seminar).,"1, 2, 3","1, 2",6,6,6,6,6,6,6,6,6,482s (~8.03 minutes),Yes,3,1,1,1,0,0,57
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,2,20,female,Julius-Maximilians-Universität Würzburg,NA,No,NA,NA,11,Did hear of RC,11,3,4,4,Excel,Yes,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140s (~2.33 minutes),No,0,NA,NA,NA,NA,NA,58
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,44,female,Universität zu Köln,NA,Yes,1,3,10,Did hear of RC,"11, 14",5,5,3,SPSS,Yes,No,1,NA,"1, 5",1,6,6,6,6,6,"1, 5",6,6,6,421s (~7.02 minutes),Yes,1,1,0,0,0,0,59
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,Universität Leipzig,Universität Leipzig,Yes,"1, 2, 3, 4",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"4, 5, 9, 11",5,5,4,"R,SPSS",Yes,No,1,NA,6,6,"1, 2","1, 2, 3, 4",6,6,2,4,6,6,6,449s (~7.48 minutes),Yes,4,1,1,1,1,0,60
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Universität zu Köln,Universität zu Köln,Yes,1,2,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"9, 11, 12",4,5,4,"R,SPSS",Not Sure,No,1,NA,1,1,6,6,6,6,6,6,6,6,6,221s (~3.68 minutes),Yes,1,1,0,0,0,0,61
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,6,23,female,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 3, 5",1,"1, 2, 3, 4, 5, 7, 8",Did hear of RC,11,4,4,5,SPSS,No,Yes,1,NA,"1, 3","1, 3",6,5,6,6,6,6,6,6,6,513s (~8.55 minutes),No,3,1,0,1,0,1,62
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Julius-Maximilians-Universität Würzburg,NA,No,NA,NA,"4, 7, 8",Did hear of RC,"11, 14",3,4,1,"SPSS,Excel",Yes,Yes,1,"Da ich erst wirklich am Beginn des Studiums stehe und das Institut erst noch kennenlernen muss, ist es durchaus möglich, dass mein Wissen über bestimmte Initiativen etc. deutlich geringer ist, als in höheren Semestern.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527s (~8.78 minutes),No,0,NA,NA,NA,NA,NA,63
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,8,31,female,Universität zu Köln,Universität zu Köln,Yes,"1, 2, 4",2,"2, 8, 11",Did not hear of RC,NA,5,5,3,"SPSS,R",No,No,1,NA,"2, 4",2,6,6,6,6,6,6,6,6,6,258s (~4.3 minutes),Yes,3,1,1,0,1,0,64
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität zu Köln,NA,Yes,1,"2, 3","1, 2, 3, 4, 5, 6, 8, 9",Did hear of RC,"1, 6, 11, 14",2,4,5,SPSS,Yes,Not Sure,1,NA,1,1,6,2,6,6,6,6,6,6,6,3528s (~58.8 minutes),Yes,1,1,0,0,0,0,65
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,25,male,Westfälische Wilhelms-Universität Münster,NA,Yes,"2, 5",2,"1, 2, 3, 4, 7, 8",Did hear of RC,"5, 6, 11, 14",5,5,4,R,Yes,Not Sure,1,NA,5,2,6,2,6,6,6,6,6,6,6,516s (~8.6 minutes),Yes,2,0,1,0,0,1,66
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,34,male,Universität zu Köln,NA,Yes,1,2,"1, 2, 4, 5, 7, 8",Did hear of RC,1,4,5,3,"SPSS,R",Not Sure,No,1,NA,1,1,6,6,6,6,1,6,6,6,6,380s (~6.33 minutes),Yes,1,1,0,0,0,0,67
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Universität Mannheim,NA,Yes,"1, 5",1,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 9, 11, 12, 14",5,5,5,SPSS,No,Not Sure,1,NA,"1, 5",1,1,6,6,6,6,6,6,6,6,369s (~6.15 minutes),No,2,1,0,0,0,1,68
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,male,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg,Yes,"1, 2, 3, 4",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did not hear of RC,NA,5,5,4,SPSS,No,Not Sure,1,"Definition ""Präregistrierung"": Exposé mit festgelegten Hypothesen (Umfang 10 Seiten für Masterarbeit), das nicht veröffentlicht wird?

Im Master werden oft keine Basics mehr gelehrt (bestenfalls). Nicht vorhandene Lehre über Open Science im Master heißt also nicht, dass es nicht im Bachelor gemacht wird.

Flexible Datenanalyse sollte klargestellt werden als flexible Analyse, ohne dass vorher explorative Analysen explizit als Forschungsziel genannt wurden",4,NA,6,"1, 3",6,6,3,6,6,6,6,766s (~12.77 minutes),No,4,1,1,1,1,0,69
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Osnabrück,NA,Yes,1,6,2,Did not hear of RC,NA,5,5,4,SPSS,Not Sure,Yes,1,NA,1,6,6,1,6,6,6,6,6,6,6,327s (~5.45 minutes),No,1,1,0,0,0,0,70
