session,created,modified,ended,expired,check,study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,id,illog_answ_subj,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,nosi_at_uni,n_projects,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other
d9Hve3nn9JLVqbWum8O8JyDO8y4u84hEENGNcfFCqlK6oXxIKKfa1Ow_IXvIoA7l,2018-11-23T14:58:03Z,2018-11-23T17:52:34Z,2018-11-23T17:52:35Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,Universität Osnabrück,NA,Yes,"1, 3",6,"1, 3, 6, 8",yes,11,4,5,3,SPSS,Yes,Yes,1,NA,11,FALSE,3,6,1,"1, 3",6,6,6,6,1,6,6,No,2,1,0,1,0,0
K3k6OiRQJcw5Y7-uXAHDf0DaHsstVOdYIn8MBrxo5lKTtU3gC5aoqmRw40wzg2uy,2018-11-23T15:35:52Z,2018-11-23T15:45:31Z,2018-11-23T15:45:31Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Other,Statistik,2,24,female,4,Universität Bielefeld,Yes,"1, 3, 5",6,"2, 3, 6",no,NA,5,5,4,R,No,No,1,NA,12,FALSE,3,6,5,6,6,6,3,6,6,6,6,No,3,1,0,1,0,1
zVKE0RNULlPPx3HOjrnFMAzMO3rRH1ReGUJQ1x4UslCM4HLNyfVS0x8lUGkG8lsk,2018-11-23T15:41:46Z,2018-11-23T16:00:04Z,2018-11-23T16:00:04Z,NA,1,I don't study (any more),1,M.Sc.,1,Psychology,Sozialpsychologie (!?),NA,NA,NA,NA,32,male,5,NA,Yes,"1, 3, 4, 5",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"11, 14",4,5,4,R,Yes,No,1,Den Themenkomplex flexible Datenanalyse finde ich unklar abgegrenzt: Bei einer vorregistrierten Studie ist es meiner Ansicht nach kein Problem eine post-hoc Analyse unerwarteter Ergebnisse durchzuführen. Wenn es separat berichtet wird.,13,FALSE,"3, 4, 5","3, 4, 5",1,1,6,6,1,6,6,6,6,No,4,1,0,1,1,1
S5jczoNkve7fD9h3YAADOrn7V4Jviuqk1PKJxGLLL0ICY6gp4_drJALU7aqQOSu3,2018-11-23T15:44:25Z,2018-11-23T15:50:42Z,2018-11-23T15:50:42Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,male,4,Justus-Liebig-Universität Gießen,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",yes,11,4,4,2,R,No,No,1,NA,14,FALSE,3,6,3,6,3,6,3,3,3,3,6,No,2,1,0,1,0,0
XxQIHKBddvh_PNL-dEoQfFPhvtyNdTxgRiN4Vahdg7NbTrLBD_k1h0tnrrWc43mc,2018-11-23T15:48:22Z,2018-11-23T15:53:34Z,2018-11-23T15:53:34Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,Universität Hamburg,Universität Osnabrück,Yes,"1, 2, 3",6,"1, 2, 4, 5, 6, 8",yes,"4, 11",4,5,2,R,Not Sure,No,1,NA,15,FALSE,6,6,"1, 3",6,6,"1, 3",3,3,6,"1, 3",6,No,3,1,1,1,0,0
HnWzjVp2PFq4mTI2Jy8dHRV0ESw0wwjSr-aD8ala8PQcPC7SoGwy9_lGaeg5HvkQ,2018-11-23T16:22:11Z,2018-11-23T17:45:33Z,2018-11-23T17:45:33Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Julius-Maximilians-Universität Würzburg,NA,Yes,1,3,"1, 2, 5, 6, 7, 8",yes,"11, 14",4,5,4,"SPSS,Excel",Yes,Yes,1,NA,16,FALSE,6,1,6,6,6,6,6,6,6,6,6,No,1,1,0,0,0,0
At_Vn8b2eQgEw4tnMV0TQ7G2iFUmWWxa5TQTmaDc1qs0UzEt5ZkPpWEXDwslu1tc,2018-11-23T16:26:53Z,2018-11-23T16:39:16Z,2018-11-23T16:39:16Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Leipzig,NA,Yes,"1, 5",1,"2, 4, 6, 7, 8, 9",yes,"4, 5, 6, 14",3,5,4,"R,SPSS",No,Yes,1,NA,17,FALSE,6,5,6,1,5,6,6,"1, 5",5,6,6,Yes,2,1,0,0,0,1
8urmKUe4TLpsLEs8sgOnqBmdGyNOPVZzRC86EXKEXQToQgeaayGJ_ccDwEZ44zYm,2018-11-23T17:08:36Z,2018-11-23T17:11:11Z,2018-11-23T17:11:11Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,male,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8",yes,11,3,3,3,R,No,No,1,NA,18,FALSE,1,6,1,6,6,1,1,6,6,6,6,No,1,1,0,0,0,0
IJBEPdMlWXbrXPEgut4DTaUpAW6G6fkdBQAo8yG276NiVE7hRVkOdzRJws4ZAVEW,2018-11-23T17:20:48Z,2018-11-23T17:46:25Z,2018-11-23T17:46:26Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,female,Georg-August-Universität Göttingen,Universität Osnabrück,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"1, 4, 5, 11",3,5,5,R,Yes,Yes,1,NA,19,FALSE,6,6,6,6,6,6,6,6,6,6,6,Yes,2,1,0,1,0,0
9RymvPp2Nqf0ywbFNCtIgqoX4XFqER5uL9yJusQq7dNv8mMa1s1w6bEdrDzDk1M3,2018-11-23T17:33:17Z,2018-11-23T17:39:40Z,2018-11-23T17:39:40Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Georg-August-Universität Göttingen,Universität Hildesheim,Yes,"1, 3, 5",3,2,no,NA,5,5,3,R,Yes,Yes,1,NA,20,TRUE,3,3,6,1,6,6,NA,6,6,6,6,Yes,3,1,0,1,0,1
7tyC2gr0-g-y7ivF0Q9-rQLCUxa-KLJrkjAa64bNHAbNHeFtVFjpPLxBEs7PP6TD,2018-11-23T17:33:29Z,2018-11-24T11:54:46Z,2018-11-24T11:54:46Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 6, 7, 8",yes,"1, 8, 14",3,5,4,"SPSS,Excel",Yes,No,1,NA,21,FALSE,6,6,1,6,1,6,"1, 2",6,6,6,6,No,2,1,1,0,0,0
XQXzIABUeBH5DKV2sR_yo-nB4MHFMNy6trxkN933Sea80JSl_VIajV4qlJ2fDxFD,2018-11-23T17:33:39Z,2018-11-23T17:40:51Z,2018-11-23T17:40:51Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,3,NA,Yes,1,6,"1, 2, 4, 5, 6, 7, 8, 9",yes,"1, 11, 15",5,5,3,R,Not Sure,Yes,1,NA,22,FALSE,6,6,1,6,6,6,6,6,6,6,6,No,1,1,0,0,0,0
Zgali60tkF9YtlrzegXGpYxhe8KFOEoZhUQvMS0aNu_fyirfsO8crDV86tZ__f9P,2018-11-23T17:34:21Z,2018-11-23T17:42:18Z,2018-11-23T17:42:19Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,20,male,Rheinische Friedrich-Wilhelms-Universität Bonn,NA,Yes,"1, 3",6,"2, 4, 6, 7, 8",yes,"4, 6",4,4,3,SPSS,Not Sure,No,1,NA,23,FALSE,1,6,1,"1, 3",3,1,6,1,1,1,6,No,2,1,0,1,0,0
yFYY7zf0TgudjaGIeBA3RIbx3-TQ80nr4F2pryGdYRfp8-r7RF08lOoql-Jr-uXc,2018-11-23T17:34:28Z,2018-11-25T23:37:41Z,2018-11-25T23:37:41Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Goethe-Universität Frankfurt,NA,Yes,"1, 5",6,"1, 3, 4, 7, 8",yes,"1, 11",5,5,4,"SPSS,R,Excel",Yes,Yes,1,NA,24,FALSE,5,5,6,6,1,6,6,6,6,6,6,Yes,2,1,0,0,0,1
cuP4rrDyZTYgTR_G3Pj4PUAZwENRlLD96i0NEBCbevJ8HGIo3etTJJyXFtz0ceby,2018-11-23T17:34:35Z,2018-11-24T18:27:27Z,2018-11-24T18:27:27Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,RWTH Aachen,NA,Yes,"1, 5",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"1, 4, 6, 11, 12",4,5,4,SPSS,No,No,1,NA,25,FALSE,5,6,6,6,6,6,6,6,6,6,6,No,2,1,0,0,0,1
pjTMlwbPcul1t2U2KpZB3CcXZ_dHL0RAv_GWDFS9XvsBXU-YqsHPZ0zrfZBIdIPI,2018-11-23T17:34:41Z,2018-11-23T17:41:16Z,2018-11-23T17:41:16Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,Universität Hamburg,Universität Hamburg,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6",yes,"4, 5, 11",4,5,3,R,Not Sure,Yes,1,NA,26,FALSE,"1, 3",6,6,6,6,6,1,6,6,6,6,No,2,1,0,1,0,0
EY4dUkVVuacnMIclrhZ7G64lIk6riSVhB1SKkZ94-QWNZ1u0XLJP8yyaoQjuO24_,2018-11-23T17:34:51Z,2018-11-23T17:41:55Z,2018-11-23T17:41:55Z,NA,1,I don't study (any more),1,M.Sc.,1,Psychology,Psychologie,NA,NA,NA,NA,30,male,5,NA,Yes,"1, 2, 3, 4, 5",6,10,yes,"11, 14",4,5,2,R,Yes,No,1,"Technisch beste Umfrage, die ich je ausgefüllt habe!",27,FALSE,"3, 4",6,5,"1, 2, 3, 4, 5",6,6,"4, 5","2, 5",5,5,6,No,5,1,1,1,1,1
MjDGU2LR9qKxZIxunlkqidV285_8DbZ00K7KfkL815ThrJ8eCMRKVsmmFE5pB5Zl,2018-11-23T17:34:52Z,2018-11-23T17:41:00Z,2018-11-23T17:41:00Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,2,23,male,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 2, 3",1,"1, 2, 3, 4, 5, 6, 7, 8",yes,"2, 3, 4, 14",4,5,4,"SPSS,Excel",Yes,Yes,1,NA,28,FALSE,"1, 2, 3","2, 3",6,6,6,6,6,6,6,6,6,No,3,1,1,1,0,0
RU-RIDC3FKV6GUImyYKHcqKTDgNkvwvvlm7hUbw8mvxh9AH-GtFQj9bu7Idxlxx9,2018-11-23T17:35:17Z,2018-11-23T17:39:51Z,2018-11-23T17:39:51Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,21,female,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 3",6,"1, 2, 6, 8",yes,3,3,4,3,"SPSS,Excel,HLM,R",Yes,Yes,1,NA,29,FALSE,"1, 3",6,"1, 3",3,6,6,6,"1, 3",6,6,6,No,2,1,0,1,0,0
LxxoxNlCrPnMsCR4W7zba-hgAuBjXdCn1Enr8PrnaR3tPsppD5pr_AtHdf3lR9dE,2018-11-23T17:35:29Z,2018-11-23T17:44:39Z,2018-11-23T17:44:40Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,27,female,6,Justus-Liebig-Universität Gießen,Yes,"2, 3",6,10,yes,11,5,5,2,SPSS,No,No,1,NA,30,FALSE,6,6,3,6,6,3,3,2,3,6,6,No,2,0,1,1,0,0
3HX7yypOgcgo_4eu3WW-D0KAo_kq3M6HJ5-JVF5LezPrk2mazSTL8iWX2NT95ZP6,2018-11-23T17:35:37Z,2018-11-23T17:43:56Z,2018-11-23T17:43:56Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,male,Ruhr-Universität Bochum,Ruhr-Universität Bochum,Yes,"1, 2, 3",6,"1, 2, 4, 5, 6, 7, 8",yes,"9, 11",4,5,3,R,No,No,1,NA,31,FALSE,1,6,2,6,6,2,6,6,"1, 3",1,6,No,3,1,1,1,0,0
DQfzCwmgIY5NBvN2-siI4QRjUB2d-JbJB06UhV9bPxSI3vklw6BUwiuhS15Kwnwd,2018-11-23T17:35:54Z,2018-11-27T10:37:46Z,2018-11-27T10:37:46Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"1, 3, 4, 7, 8",no,NA,5,5,2,SPSS,Yes,Yes,1,NA,32,FALSE,1,6,1,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
5QBUbES0p5VBQyNIuZiQDkwgy6ulgBz6D_4W585Zpqv10ygh0QdHfp69ngA7dWBd,2018-11-23T17:35:56Z,2018-11-23T17:48:52Z,2018-11-23T17:48:52Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,male,Universität Hamburg,Rheinische Friedrich-Wilhelms-Universität Bonn,Yes,"1, 3",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"4, 9, 11",2,5,4,R,No,No,1,NA,33,FALSE,6,"1, 3",6,6,6,6,3,6,6,3,6,No,2,1,0,1,0,0
j5hf81CAr280F4Ggyd4-fhitjQv9EqSpc6BOAw5xM7vdSKsTsVsSlR4xBZXoCpxM,2018-11-23T17:36:36Z,2018-11-23T17:49:38Z,2018-11-23T17:49:38Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"2, 8",yes,11,3,4,2,SPSS,Yes,Yes,1,NA,34,FALSE,6,6,6,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
2q85a4rxHv0xuGmUXtJPCv3YCk4vVnGW3SHyTERu5tzSvL3rRYhaxGMrIfYt4Krm,2018-11-23T17:37:31Z,2018-11-23T17:46:54Z,2018-11-23T17:46:54Z,NA,1,Other,NA,NA,NA,NA,NA,Weiterbildungsstudiengang,Other,Psych. Psychotherapeut,3,31,female,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2, 3, 4",1,"1, 2, 4, 6",no,NA,4,4,3,weiss ich nicht,Not Sure,No,1,Vieles konnte ich retrospektiv schwer einschätzen...,35,FALSE,6,"1, 3, 4",6,"1, 3, 4",6,6,5,6,6,6,6,No,4,1,1,1,1,0
VBJ3QtlE5mD6yeVK0xHcRuVT2fdbld3OznLPq8Ox2LcOL9Vq01JugSRCuDMf0o4e,2018-11-23T17:45:08Z,2018-11-23T17:50:17Z,2018-11-23T17:50:17Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",6,"1, 2, 4, 5, 6, 7, 8",yes,11,3,5,4,"SPSS,Excel",No,Not Sure,1,NA,36,FALSE,3,6,6,6,6,6,6,6,6,6,6,No,2,1,0,1,0,0
YYtfS8xr81i4VSR2dtNwuIFIikeuTczsh6jHx4906p7K_d0lMXbo8eKaKNzLNILd,2018-11-23T17:56:14Z,2018-11-28T21:43:38Z,2018-11-28T21:43:38Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",1,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,5,5,4,"Excel,spss",Yes,Yes,1,"Open Science Rules
#johannesissexay",37,FALSE,6,"1, 3",6,1,6,6,6,6,6,6,6,No,2,1,0,1,0,0
Z2Ylp6WlnUqlCyVtPSQEzBlMm7bPDHbRVkCk188bE6vU9RQhQkfOvvy68yipWLQ-,2018-11-23T17:59:27Z,2018-11-23T18:07:38Z,2018-11-23T18:07:38Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Hamburg,Universität Hamburg,Yes,"1, 2, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"4, 5, 6, 11, 14",3,5,4,"R,SPSS",Not Sure,No,1,NA,38,FALSE,"1, 3",6,6,1,6,6,6,6,6,"1, 3",6,No,3,1,1,1,0,0
dpHa5AKcnHMRQWzj0v0aEBlHdzyLxnSoeNfFFkQO0RZm-LoUjca0zPgmkJQjlu6m,2018-11-23T18:18:38Z,2018-11-23T18:25:41Z,2018-11-23T18:25:41Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,26,male,Universität Hamburg,NA,Yes,1,6,"1, 2, 4, 5, 6, 7, 8",yes,"1, 4, 5, 6, 11",4,5,4,R,No,No,1,NA,39,FALSE,1,6,6,6,6,6,1,5,6,6,6,No,1,1,0,0,0,0
OJzHIWImpCySNUwUwC0iH2IEx2MUO_roDALjreW3ufip4M5Y7baYjD1GaPO-EjWg,2018-11-23T18:25:55Z,2018-11-23T18:31:39Z,2018-11-23T18:31:40Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Other,Human Factors,1,23,female,7,Julius-Maximilians-Universität Würzburg,Yes,"1, 2, 3",6,"1, 2, 4, 5, 8",yes,6,4,5,3,"R,SPSS",No,No,1,NA,40,FALSE,"1, 3",6,"2, 3",6,6,6,3,6,6,6,6,No,3,1,1,1,0,0
I_is1eYE3U0b0n5wwk0RD5ALZHg7iXnOADWcW-OcPX3BPIAc4q8nOcPuYrKKlDJF,2018-11-23T19:41:38Z,2018-11-23T19:44:33Z,2018-11-23T19:44:33Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,17,female,Universität zu Köln,NA,No,NA,NA,11,yes,11,4,5,2,"SPSS,R",Yes,Yes,1,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,0,NA,NA,NA,NA,NA
J0E__pxDWb7GlTVaNOwA2Nx4YjAcWC3APhDxDrDWzkhaUs4rBi-GNPpRTkr1t7A6,2018-11-23T21:06:58Z,2018-11-23T21:14:53Z,2018-11-23T21:14:53Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Universität zu Köln,Universität zu Köln,Yes,"1, 3",2,"2, 3, 6, 7, 8",yes,"10, 14, 15",4,5,4,"R,SPSS",Yes,No,1,NA,42,FALSE,3,3,6,1,6,6,6,6,6,6,6,Yes,2,1,0,1,0,0
ZU7X5A0gY_ESziVIoDRB2BDmR0xbqp4MJ-xsZqya-wf-A0LxmiRRzvGnfVqUz2nB,2018-11-23T21:41:00Z,2018-11-23T21:47:13Z,2018-11-23T21:47:13Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Universität zu Köln,Johannes Gutenberg-Universität Mainz,Yes,"1, 3","1, 2","1, 2, 3, 4, 5, 7, 8",yes,"1, 9, 11, 14, 15",3,5,4,"R,SPSS",Yes,Not Sure,1,"Ich habe versehentlich vergessen ""Andere"" anzukreuzen auf einer der ersten Seite. Also ""BAchelorarbeit, Expra, Andere"". :)
Liebe Grüße!",43,FALSE,1,5,6,6,6,6,6,6,6,3,6,Yes,2,1,0,1,0,0
pToWkSL-a1y-_2txu7snvx6YK9X_gJRZX1jpDif6iuvj-KoELYPdMC3MXsru7QRV,2018-11-23T23:03:24Z,2018-11-23T23:08:02Z,2018-11-23T23:08:02Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Hildesheim,NA,Yes,2,6,11,no,NA,4,5,2,SPSS,Not Sure,No,1,NA,44,FALSE,2,6,6,6,6,6,6,2,6,6,6,No,1,0,1,0,0,0
-Gq6k6Iegr3wA124B0dJ5JWlKM7E9xlpvCjoKMaw4zH-Lk_W2WuYUGQMWJSjuxpq,2018-11-23T23:31:06Z,2018-11-23T23:36:04Z,2018-11-23T23:36:04Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,28,female,Universität zu Köln,NA,No,NA,NA,"1, 2, 6, 7, 8",yes,14,2,2,3,"SPSS,R",No,No,1,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,0,NA,NA,NA,NA,NA
WZThrup40n1T6YD16RFqeHHvQb1zSbf_lm6-Cses4FuZLcG4zYv2ncQiKWt4Mcno,2018-11-24T09:16:40Z,2018-11-24T09:26:47Z,2018-11-24T09:26:47Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,female,Universität Hildesheim,NA,Yes,1,6,"7, 8",no,NA,2,5,3,SPSS,Not Sure,Yes,1,NA,46,FALSE,1,6,1,6,6,1,6,6,6,6,6,No,1,1,0,0,0,0
