age,sex,semester,study_stage_mc,study_stage_open,uni_bachelor,uni_current,study_degree,study_degree_field,study_degree_year,study_degree_yesno,comments,exp_specific
21,female,7,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
24,male,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
25,female,5,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,"super, dass ihr das macht!","1, 3, 4"
22,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
22,male,NA,I don't study (any more),NA,NA,NA,B.Sc.,Psychology,2,1,NA,"1, 2, 3, 4, 5"
21,female,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
35,female,6,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
19,female,1,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,NA
22,female,3,Master,NA,Universität Regensburg,NA,NA,NA,NA,NA,Während meines Bachelors haben wir dieses Thema überhaupt nicht besprochen. Das ist schade und falsch. Erst im Master wurde das Thema aufgegriffen.,"1, 3"
28,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
23,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
25,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
23,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
28,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 4"
22,female,7,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
22,female,6,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
24,female,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
25,female,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
23,female,1,Master,NA,Universität Hildesheim,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3, 5"
20,female,1,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,NA
25,female,6,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
21,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,male,7,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,male,1,Master,NA,Universität Regensburg,NA,NA,NA,NA,NA,"Einige der angesprochenen Themen wären mir nie in den Sinn gekommen, z. B. Hypothesen und Testgruppen verschweigen.","1, 2, 3"
22,female,3,Master,NA,Universität Hamburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
24,female,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,NA,"1, 2, 3, 4"
19,male,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,NA
19,female,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
19,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
20,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
20,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
20,male,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 5"
26,male,5,Master,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 4"
26,male,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
22,female,1,Master,NA,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,NA,NA,"1, 3"
25,male,5,Master,NA,Universität Osnabrück,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3, 4"
23,female,NA,I don't study (any more),NA,NA,NA,B.Sc.,Psychology,1,1,NA,"1, 3"
27,male,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,2,1,Letzte Universität: Universität Kassel,"1, 3, 4"
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
23,female,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3, 5"
27,female,3,Master,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3, 4"
26,female,NA,I don't study (any more),NA,NA,NA,M.A.,Other,1,1,NA,"2, 5"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,female,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,"B.Sc. Uni Osnabrück
M.Sc. Uni Kassel","1, 2, 4"
23,female,2,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3"
22,female,7,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
25,female,1,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3"
21,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
34,male,17,Other,Diplom,NA,NA,NA,NA,NA,NA,geil! Vielen Dank für die Umfrage.,"1, 3, 5"
27,male,15,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
22,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 2, 5"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
19,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,"So schön wie viel Mühe ihr euch mit der Umfrage gegeben habt und wie gewissenhaft ihr daran arbeitet! Macht weiter so, wir unterstützen euch!",1
22,male,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 2, 5"
20,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2"
26,female,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,NA,"1, 3, 4"
21,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
20,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
24,female,3,Master,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"2, 3"
21,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,Ich hab leider noch von keinen Vorträgen von der open Science initiative gehört und würde gerne mehr darüber informiert werden!!,1
20,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
25,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
22,male,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
19,male,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2"
19,male,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,"1, 2"
20,male,3,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 5"
24,male,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,"Bitte vorher informieren, dass Erstsemester die Frageb vermutlich nicht beantworten können!",NA
26,female,5,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3"
19,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
23,female,5,Master,NA,Rheinische Friedrich-Wilhelms-Universität Bonn,Universität zu Köln,NA,NA,NA,NA,NA,"1, 2, 3"
30,female,4,Bachelor,NA,NA,NA,NA,NA,NA,NA,Ich habe die Umfrage einmal begonnen und habe sie falsch verstanden und deshalb noch einmal neu begonnen.,"1, 5"
20,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2"
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
22,male,5,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
30,male,3,Master,NA,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 3"
22,female,4,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 5"
19,female,2,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,NA
24,female,3,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3, 5"
28,female,7,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,"Meiner Meinung nach wird es nur randläufig angesprochen, da sich die Profs selbst dem beugen und so praktizieren ohne es wirklich kritisch zu hinterfragen, wie es scheint.","1, 3"
19,male,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
20,female,2,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 5"
19,female,3,Bachelor,NA,NA,Goethe-Universität Frankfurt,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 5"
25,male,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
26,female,5,Master,NA,Universität Koblenz-Landau,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4, 5"
27,female,5,Master,NA,Ludwig-Maximilians-Universität München,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
25,male,4,Master,NA,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,"OS in nur einem Seminar thematisiert und zwar nur durch persönliches Interesse des Dozenten.
Sonst wäre man ohne jegliche Info zu dem Thema durch den Master geschleust worden.

Wissen über OS habe ich hauptsächlich durch ein Praktikum beim LMU Open Science Center.","1, 2, 3, 4, 5"
20,male,3,Bachelor,NA,NA,Goethe-Universität Frankfurt,NA,NA,NA,NA,NA,"1, 2"
28,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 5"
20,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
22,female,3,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
27,female,5,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 4, 5"
20,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,1
23,female,2,Master,NA,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 3, 5"
22,male,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,2
23,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
29,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 5"
23,female,3,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3, 4"
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
18,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
22,male,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
22,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 3, 5"
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
22,male,1,Other,Promotion,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
21,male,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
19,male,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2"
24,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3, 5"
23,male,1,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3"
23,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 4, 5"
21,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
26,female,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 4"
